GPU	Run	Measurement	Duration	Speedup
TitanX Pascal	51	kernel	0.00155495	50.98427602173703
TitanX Pascal	51	memory	0.009129	8.684193230364771
TitanX Pascal	51	parallel	0.01068395	7.4202893124733835
TitanX Pascal	52	sequential	0.0748592	1.0
TitanX Pascal	52	kernel	0.00155096	48.26636405838964
TitanX Pascal	52	memory	0.0090071	8.311132328940502
TitanX Pascal	52	parallel	0.010558060000000001	7.090241957329281
TitanX Pascal	53	sequential	0.0551465	1.0
TitanX Pascal	53	kernel	0.00143988	38.29937216990305
TitanX Pascal	53	memory	0.0070702	7.799850074962519
TitanX Pascal	53	parallel	0.00851008	6.48013884710837
TitanX Pascal	54	sequential	0.0779829	1.0
TitanX Pascal	54	kernel	0.00156396	49.8624645131589
TitanX Pascal	54	memory	0.0120149	6.490515942704475
TitanX Pascal	54	parallel	0.01357886	5.742963695037727
TitanX Pascal	55	sequential	0.0471422	1.0
TitanX Pascal	55	kernel	0.00154435	30.52559329167611
TitanX Pascal	55	memory	0.0111768	4.217861999856846
TitanX Pascal	55	parallel	0.01272115	3.705812760638779
TitanX Pascal	56	sequential	0.0469901	1.0
TitanX Pascal	56	kernel	0.00153015	30.70947292749077
TitanX Pascal	56	memory	0.00849147	5.5338003902740045
TitanX Pascal	56	parallel	0.010021619999999998	4.688872657314886
TitanX Pascal	57	sequential	0.0759434	1.0
TitanX Pascal	57	kernel	0.00155802	48.74353345913403
TitanX Pascal	57	memory	0.0118899	6.387219404704833
TitanX Pascal	57	parallel	0.01344792	5.647222767535797
TitanX Pascal	58	sequential	0.0469554	1.0
TitanX Pascal	58	kernel	0.00155579	30.18106556797511
TitanX Pascal	58	memory	0.00772059	6.081840895579224
TitanX Pascal	58	parallel	0.00927638	5.061823685532502
TitanX Pascal	59	sequential	0.0767565	1.0
TitanX Pascal	59	kernel	0.00155518	49.355380084620435
TitanX Pascal	59	memory	0.00810213	9.473619899952235
TitanX Pascal	59	parallel	0.00965731	7.948020722126555
TitanX Pascal	60	sequential	0.0586319	1.0
TitanX Pascal	60	kernel	0.00155978	37.58985241508418
TitanX Pascal	60	memory	0.00783563	7.482729531639447
TitanX Pascal	60	parallel	0.00939541	6.240483384972023
TitanX Pascal	61	sequential	0.0740024	1.0
TitanX Pascal	61	kernel	0.00149495	49.50158868189571
TitanX Pascal	61	memory	0.0115915	6.384195315532933
TitanX Pascal	61	parallel	0.01308645	5.654887307100092
TitanX Pascal	62	sequential	0.047045	1.0
TitanX Pascal	62	kernel	0.00155935	30.169621957867058
TitanX Pascal	62	memory	0.007873	5.97548583767306
TitanX Pascal	62	parallel	0.009432349999999999	4.987622384665539
TitanX Pascal	63	sequential	0.0621409	1.0
TitanX Pascal	63	kernel	0.00155843	39.87403989912925
TitanX Pascal	63	memory	0.00794285	7.823501639839605
TitanX Pascal	63	parallel	0.009501279999999999	6.540266153612987
TitanX Pascal	64	sequential	0.0714425	1.0
TitanX Pascal	64	kernel	0.00150174	47.57314848109527
TitanX Pascal	64	memory	0.00799858	8.931897911879359
TitanX Pascal	64	parallel	0.00950032	7.5200098522997125
TitanX Pascal	65	sequential	0.0603472	1.0
TitanX Pascal	65	kernel	0.00155641	38.77333093465089
TitanX Pascal	65	memory	0.00766599	7.872068708672982
TitanX Pascal	65	parallel	0.0092224	6.54354614850798
TitanX Pascal	66	sequential	0.0738969	1.0
TitanX Pascal	66	kernel	0.00155327	47.575051343295115
TitanX Pascal	66	memory	0.0119527	6.182444133961364
TitanX Pascal	66	parallel	0.01350597	5.471424858784671
TitanX Pascal	67	sequential	0.0472109	1.0
TitanX Pascal	67	kernel	0.00156058	30.25214984172551
TitanX Pascal	67	memory	0.00792755	5.955295141626354
TitanX Pascal	67	parallel	0.009488130000000001	4.9757855341358095
TitanX Pascal	68	sequential	0.0772476	1.0
TitanX Pascal	68	kernel	0.00156043	49.50404696141448
TitanX Pascal	68	memory	0.0079314	9.739465920266284
TitanX Pascal	68	parallel	0.00949183	8.138325275526427
TitanX Pascal	69	sequential	0.073752	1.0
TitanX Pascal	69	kernel	0.00154762	47.65510913531745
TitanX Pascal	69	memory	0.0121863	6.052042047216957
TitanX Pascal	69	parallel	0.01373392	5.370061861435046
TitanX Pascal	70	sequential	0.0743151	1.0
TitanX Pascal	70	kernel	0.00155418	47.81627610701462
